%Type ZVL-6 
%Version 3.20 
%Date 14.Aug 24 
%Mode ANALYZER 
%Center Freq 102500000.000000 Hz
%Freq Offset 0.000000 Hz
%Span 195000000.000000 Hz
%x-Axis LIN 
%Start 5000000.000000 Hz
%Stop 200000000.000000 Hz
%Ref Level 0.000000 dBm
%Level Offset 0.000000 dB
%Ref Position 100.000000 %
%y-Axis LOG 
%Level Range 100.000000 dB
%Rf Att 30.000000 dB
%RBW 100000.000000 Hz
%VBW 300000.000000 Hz
%SWT 0.050000 s
%Trace Mode AVERAGE 
%Detector SAMPLE 
%Sweep Count 0 
%Trace 1:  
%x-Unit Hz 
%y-Unit dBm 
%Preamplifier ON 
%Transducer OFF 
%Values 5001 
21965000 -71.299026489257813 
22004000 -71.19866943359375 
22043000 -70.278205871582031 
22082000 -71.385826110839844 
22121000 -71.317001342773438 
22160000 -69.76751708984375 
22199000 -70.525169372558594 
22238000 -69.573989868164062 
22277000 -70.066612243652344 
22316000 -70.706207275390625 
22355000 -69.296676635742187 
22394000 -69.742630004882813 
22433000 -69.645736694335938 
22472000 -68.711082458496094 
22511000 -68.83514404296875 
22550000 -69.64166259765625 
22589000 -69.554435729980469 
22628000 -68.48248291015625 
22667000 -68.020828247070312 
22706000 -68.423973083496094 
22745000 -68.380805969238281 
22784000 -67.509681701660156 
22823000 -66.25701904296875 
22862000 -66.454193115234375 
22901000 -66.951499938964844 
22940000 -66.287445068359375 
22979000 -66.7064208984375 
23018000 -64.86602783203125 
23057000 -64.469688415527344 
23096000 -64.262886047363281 
23135000 -64.270545959472656 
23174000 -62.955841064453125 
23213000 -63.277534484863281 
23252000 -62.718925476074219 
23291000 -62.997303009033203 
23330000 -61.57391357421875 
23369000 -60.461051940917969 
23408000 -61.276203155517578 
23447000 -59.238319396972656 
23486000 -58.078510284423828 
23525000 -57.123035430908203 
23564000 -56.04901123046875 
23603000 -54.292858123779297 
23642000 -52.973979949951172 
23681000 -50.508163452148438 
23720000 -49.338706970214844 
23759000 -46.884815216064453 
23798000 -33.969020843505859 
23837000 -20.461601257324219 
23876000 -10.075580596923828 
23915000 -3.372753381729126 
23954000 -0.39223441481590271 
23993000 -1.1290343999862671 
24032000 -5.5853981971740723 
24071000 -13.750975608825684 
24110000 -24.592000961303711 
24149000 -39.611076354980469 
24188000 -48.720668792724609 
24227000 -50.235095977783203 
24266000 -51.034008026123047 
24305000 -53.861522674560547 
24344000 -54.699314117431641 
24383000 -56.061073303222656 
24422000 -56.943199157714844 
24461000 -58.602397918701172 
24500000 -60.928840637207031 
24539000 -61.227142333984375 
24578000 -62.09808349609375 
24617000 -61.624591827392578 
24656000 -61.984378814697266 
24695000 -62.279304504394531 
24734000 -63.935894012451172 
24773000 -64.245681762695313 
24812000 -64.609832763671875 
24851000 -64.961418151855469 
24890000 -65.693511962890625 
24929000 -66.705375671386719 
24968000 -66.729904174804688 
25007000 -66.543647766113281 
25046000 -65.785041809082031 
25085000 -67.875946044921875 
25124000 -68.054718017578125 
25163000 -67.164459228515625 
25202000 -68.167091369628906 
25241000 -67.754493713378906 
25280000 -69.281486511230469 
25319000 -69.424659729003906 
25358000 -69.583442687988281 
25397000 -70.759857177734375 
25436000 -68.377845764160156 
25475000 -69.791709899902344 
25514000 -69.7791748046875 
25553000 -70.051033020019531 
25592000 -69.850128173828125 
25631000 -70.799552917480469 
25670000 -70.531524658203125 
25709000 -70.92315673828125 
